date,title
04/12,春雨3月營收月增15% 歐美客戶訂單回溫營運脫離谷底
04/12,大亞處分保瑞、穎崴持股 總計獲利6.8億元
04/12,中鋼3月營收338億元月增8% 創7個月新高
04/12,〈航空市況強強滾〉華航3月營收寫15個月新高 夏季班表將再大增班近5成
04/12,高端腸病毒71型疫苗獲台灣藥證 後續將再進軍東南亞市場
04/12,晟鈦去年底每股淨值跌破票面價 明起遭暫停信用交易
04/12,14家金控Q1獲利778億元 年減47%
04/12,〈航空市況強強滾〉長榮航3月營收年增超過5成 創單月第三高
04/12,彰銀6/16董事改選公股足額提名 凌忠嫄續掌董座
04/12,董事長翁毓羚請辭4/20生效 總太：速安排接任人選
04/12,研華攜合作夥伴拓智慧診所應用 目標五年導入5000家診所
04/12,〈航空市況強強滾〉星宇航空3月營收創次高 Q1寫新高
04/12,寶成3月營收213億元月增17% 通路業務成長3成
04/12,〈車電展亮點〉和泰車導入TOYOTA氫能電動車 MIRAI首度亮相
04/12,宏碁推電競、輕薄筆電新品 祭出普發金加碼優惠
04/12,達麗謝志長：房市景氣最壞的時點在今年底
04/12,〈車用電子展〉MIH日本合作案下半年開花結果 將開發大型電動物流車
04/12,〈車電展亮點〉凱銳光電國際客戶湧現 樂見一年比一年好
04/12,產、壽險虧損拖累 國泰金Q1獲利68.8億元、年減近8成
04/12,〈電信三雄財報〉台灣大首季EBITDA登同期新高 每股純益0.96元
04/12,〈台塑電芯廠動土〉磷酸鋰鐵電芯佈局日本、東南亞等市場 未來將赴海外擴廠
04/12,〈車電展亮點〉凱銳光電新廠投入營收將爆發 Q3送件申請上市
04/12,〈界霖法說〉董座：Q2營收回溫 Q4可能恢復到搶貨狀態
04/12,自行車廠明係將籌資約4億元 投資越南設廠
04/12,華邦電200億元永續連結聯合授信案 獲11家銀行超額認購155%
04/12,〈電信三雄財報〉兩大業務成長 遠傳首季每股賺0.85元 超越財測目標
04/12,〈車用電子展〉鴻海未來每年推1-2款新電動車 搶攻3萬美元市場
04/12,路盛採購森崴能源旗下欣鑫天然氣LNG 瀝青業首例
04/12,晶技自結首季獲利腰斬年減55% 每股稅前賺1.15元
04/12,富邦金Q1獲利139億元、年減7成 每股賺1.12元
04/12,東元3月營收刷新猷 首季147億元登同期高
04/12,遭冒用張忠謀身分詐騙 台積電：保留法律追訴權
04/12,2026年全球NTN產值上看88億美元 CAGR達7%
04/12,消費產品需求大減 聯強Q1營收雙減降至885億元
04/12,代銷業者愛山林及海悅 去年股利都有5元水準
04/12,士電攜手起而行衝市占 今年充電樁出貨量估達去年5倍
04/12,外資股東指經營層放任資金閒置 可成：偏頗不公
04/12,中華電日本子公司取得特定建設許可 將承接當地大規模工程
04/12,捷流閥業3月營收續強 Q1 6.64億元創同期新高
04/12,4月起電費漲 ！5個小撇步讓你更省電
04/12,客戶調節庫存 瑞昱Q1營收196億元 探11季低點
04/12,【量大強漲股整理】台股攻萬六時間點告訴你!內資主導軍工、儲能、節電概念股成主流!
04/12,路透：北京計劃4/16起對台設禁航區
04/12,〈東元推馬達新品〉電動車布局效益顯 獲國內兩大電巴訂單 海外下半年出貨
04/12,〈台塑電芯廠動土〉彰濱廠第一期明年下半年完工 二期建置後年啟動
04/12,逸達兩原因3月營收下滑 看好新藥使用率提升全年營收逐季成長
04/12,第三方支付開始成長 誰會是贏家?誰會成為飆股?
04/12,華碩推兩款OLED高效能筆電 瞄準創作族群
04/12,〈東元推馬達新品〉驅動器首度導入第三代半導體 將攜手國內巴士輸出海外
04/12,【週選Good！】中國清零退場景氣漸復甦，塑化產業景氣拐點可望出現；這些公司值得關注
04/12,聖暉*小金雞市值狂飆 逼近母公司
04/12,〈智慧移動展〉飛宏發表多款新充電樁 部分下半年啟動量產
04/12,記憶體谷底現生機 這檔隱藏版記憶體模組廠你知道嗎?
04/12,美食-KY品牌再造 85度C全台店點啟動整改計畫
04/12,數字科技3月營收創新高 Q1創單季次高
04/12,〈台股盤前要聞〉Q1出口年減近2成、台塑四寶3家Q1轉盈 今日必看財經新聞
04/13,TDUA理事長柯富仁：智慧座艙趨勢佳 Micro LED迎量產元年
04/13,三陽2月獲利年增達2.6倍 EPS 0.64元逼近去年Q4水準
04/13,〈智慧移動展〉友通結盟ARTC及VicOne 打造電動車資安解決方案
04/13,精剛擬辦理現增上限4萬張 用於購買廠房及設備
04/13,擬售裕融約1.23萬張持股 裕隆回應為特別股、尚未售出
04/13,高通膨窮忙一場！我國前2月實質經常性薪資創10年來最大減幅
04/13,新竹台中北彰化水情轉黃燈 夜間10點到翌日6點減壓供水
04/13,創新板再添生力軍 證交所4/17審議倚天酷碁申請案
04/13,外資大舉提款台積電及日月光 逆勢加碼面板、航空股
04/13,面板雙虎正向看市況 終端庫存大量降低迎春天
04/13,〈國安基金退場〉275天史上最長護盤 砸545億銀彈、投報率約15%
04/13,國人前2月信用卡刷出5858億元新天價 國泰世華銀奪下雙冠王
04/13,有績之漲華孚、泰詠、亞力接棒股為？
04/13,「題材+大單」國防航太再度成主流
04/13,四年來首發！旭源擬配息1元殖利率5.95% 估Q2營運恢復成長
04/13,橘子資安孫公司赴越南參展 瞄準東南亞政府、企業跨域應用商機
04/13,〈大立光法說〉4、5月拉貨動能差、明年導入G+P鏡頭 一文看懂六大重點
04/13,國銀對中小企業放款前2月大減147億元 金管會分析2原因
04/13,華碩推出4款RTX 4070顯卡新品 強化產品陣容
04/13,出貨力道延續 太醫首季稅前盈餘翻倍 每股稅前賺1.96元
04/13,投資詐騙猖獗！政院拍板網路投資廣告須實名制 明訂禁登6類廣告
04/13,富采子公司傳捷報 快充導入日系汽車大廠
04/13,越峰總座：SiC粉末全產全銷成長「很樂觀」 將積極擴產
04/13,〈國安基金退場〉股市穩定 國安基金4/14起退場 結束275天護盤任務
04/13,台數科擬配發5元股息 創近四年新高 殖利率5.56%
04/13,偉訓2月稅後純益年增2.76倍 今年營收躍進
04/13,〈大立光法說〉高階手機「賣不好」 4月與5月客戶端拉貨動能遜於3月
04/13,去年全球半導體設備出貨金額1076億美元 中國穩坐龍頭市場
04/13,〈智慧移動展〉累積出貨200萬台 台達電看好充電樁業務長期成長逾17%
04/13,【新台股龍捲風】CPI公佈後為何大跌? 樂事綠能、千附精密、環科漲停！下一檔?
04/13,漢來美食配息率逾97% 開啟深耕商圈街邊店新計畫
04/13,〈台股盤後〉台積失守季線電子黯淡 挫128點下探15800點
04/13,東森購物首個商場Q1達損平 今年再開2-3間複合式據點
