"標題","連結","日期",
"臺灣證券交易所有價證券上市審議委員會審議通過Arizon RFID Technology (Cayman) Co., Ltd. (永道射頻技術股份有限公司）初次申請股票第一上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c805d44b0069","111年11月30日",
"為活化股票代號之使用，修訂「中華民國證券市場編碼原則」","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c7d5fc75005f","111年11月30日",
"力智自111年12月1日起得為融資融券交易","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c7d40a2a005b","111年11月30日",
"「倍力資訊股份有限公司」（證券代號：6874）採競價拍賣方式辦理承銷，於今(11/30)日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c780e0ee0057","111年11月30日",
"上市金融控股公司111年第3季財務報告均已完成申報作業","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c2a215730052","111年11月29日",
"配合民法112年1月1日起將成年年齡下修為18歲，證交所提醒上市及公開發行公司注意內部人之子女成年解任申報時點","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c1ff43be004d","111年11月29日",
"臺灣證券交易所訂於11月30日召開有價證券上市審議委員會第769次會議，將審議Arizon RFID Technology (Cayman) Co., Ltd. (永道射頻技術股份有限公司)之申請股票上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184c0e0ede90047","111年11月29日",
"第一上市公司「疫後解封」及「新南向投資」主題式業績發表會及產業講座暨大洋-KY等7家第一上市公司財務業務說明會將於12月2日起陸續登場","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184bdbf32070043","111年11月28日",
"上週外資在集中市場買超241.55億元，買超永豐金7.42萬張最多，另賣超友達5.20萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184bccdbea60001","111年11月28日",
"鼎基自本（111）年11月28日起得為融資融券交易","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184ae46e7300462","111年11月25日",
"視陽光學股份有限公司股票自111年11月28日開始上市買賣","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184ae28cf12045e","111年11月25日",
"本週發行量加權股價指數漲幅約為1.89%，上市股票總市值達46.17兆元。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184ae0cfd500459","111年11月25日",
"柏騰科技股份有限公司等27家上市公司預計於111年12月份假證交所場地自行舉辦法人說明會","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184a90fd4cf0447","111年11月24日",
"主題式產業講座及太設等5家上市公司假證交所舉辦之法人說明會於11月28日至11月30日登場","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184a902ff540443","111年11月24日",
"全體證券商111年10月份稅後淨損8.76億元，累計稅後淨利292.56億元","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184a8917c6b0432","111年11月24日",
"112年事前登記股東會日期每日限額80家  證交所舉辦兩次模擬測試","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184a404fe8f042e","111年11月23日",
"111年主題式產業講座暨休閒運動產業法說會圓滿結束","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184a3c43652042a","111年11月23日",
"臺灣證券交易所有價證券上市審議委員會審議通過長榮航太科技股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01849e8f2a7c0422","111年11月22日",
"大華銀投信募集發行之大華銀台灣優選股利高填息30ETF，將於11月24日掛牌上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01849e614fbb041e","111年11月22日",
"買進牛熊證之投資人宜留意觸價風險","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018499c79f700417","111年11月21日",
"上市公司111年第3季財務報告之每股淨值資料符合應暫停及恢復融資融券交易之名單","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184998d0fcb0413","111年11月21日",
"六方科技(股)公司Sixxon Tech. Co., Ltd.於111年11月21日送件申請股票第一上市","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01849981fcae040f","111年11月21日",
"防範金融投資詐騙宣導，走出戶外力邀民眾共襄盛舉","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018499722332040a","111年11月21日",
"證交所參展「2022 Meet Taipei 創新創業嘉年華」圓滿落幕！","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01849914a2490406","111年11月21日",
"上週外資在集中市場買超782.75億元，買超聯電13.79萬張最多，另賣超台泥5.49萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda0184983024d50401","111年11月21日",
"證交所舉辦投資人ETN獎勵活動，週週抽、加碼送超商禮券！","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda018497c37f0903fb","111年11月21日",
"本週發行量加權股價指數漲幅約為3.55%，上市股票總市值達45.33兆元","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808183645bda01848a2ad87303ef","111年11月18日",
